Place_name,Latitude,Longitude,Address,Borough,Neighborhood,Category_name
Uptown Dermatology,40.809428,-73.952726,"258 Saint Nicholas Ave, New York, NY 10027",New York,Central Harlem,Optometrist
Mount Sinai West Care Medical Associates,40.780247,-73.975947,"50 W 77th St (Columbus Ave), New York, NY 10024",New York,Lincoln Square,Optometrist
Mt. Sinai Emergency Room,40.790329,-73.952253,"1468 Madison Ave (at E. 101st St.), New York, NY 10029",New York,Carnegie Hill,Optometrist
The Mount Sinai Hospital,40.790388,-73.952037,"1468 Madison Ave (at E 101st St), New York, NY 10029",New York,Carnegie Hill,Optometrist
Tribeca Pediatrics - Upper East Side,40.762151,-73.962484,"304 E 62nd St (Bet 1st & 2nd), New York, NY 10065",New York,Lenox Hill,Optometrist
Mount Sinai - Union Square,40.734661,-73.98954,"10 Union Sq E (btwn E 14th & E15th St), New York, NY 10003",New York,Downtown,Optometrist
Group Health Dental,40.755725,-73.988707,"230 W 41st St, New York, NY 10036",New York,Midtown,Optometrist
Manhattan Specialty Care,40.740528,-73.994006,"55 W 17th St, New York, NY 10011",New York,Chelsea,Optometrist
Joan H. & Preston Robert Tisch Center at Essex Crossing,40.717237,-73.985582,"171 Delancey St, New York, NY 10002",New York,Downtown,Optometrist
Metropolitan Vision Correction Associates,40.735688,-73.995431,"22 W 13th St (btw 5th & 6th Ave), New York, NY 10011",New York,Downtown,Optometrist
Betances Health Center,40.713731,-73.983612,"280 Henry St (Montgomery St.), New York, NY 10002",New York,Downtown,Optometrist
"Iwamasa, Julia - Advantagecare Physicians Upper East Side Medical Office",40.78443,-73.948748,"215 E 95th St (Between 3rd and 2nd Ave.), New York, NY 10128",New York,Carnegie Hill,Optometrist
Small Door Veterinary,40.736841,-74.000629,"15 7th Ave, New York, NY 10011",New York,Chelsea,Optometrist
Medrite Urgent Care,40.688993,-73.992514,"151 Court St, Brooklyn, NY 11201",Brooklyn,Boerum Hill,Optometrist
Joan H. Tisch Center For Women's Health,40.777478,-73.954424,"207 E 84th St (3rd Avenue), New York, NY 10028",New York,Upper East Side,Optometrist
UMD Urgent Care - LIC,40.743085,-73.955152,"535 50th Ave, Long Island City, NY 11101",Queens,Hunters Point,Optometrist
Narinder M Kukar Physician Pc,40.728599,-73.891119,"7215 Grand Ave, New York, NY 11378",New York,Maspeth,Optometrist
Fishman CTR For Total Eye Care,40.732523,-73.866861,"9229 Queens Blvd, Rego Park, NY 11374",Rego Park,LeFrak City,Optometrist
Jamaica Hospital EMS 51L CSL,40.685901,-73.824377,"Lefferts Blvd, Queens, NY 11420",Queens,South Richmond Hill,Optometrist
Wachtel Nina,40.725698,-73.845092,"10828 68th Dr, Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
CRT Surgery,40.747592,-73.826452,"5620 Main St, Flushing, NY 11355",Flushing,Queensboro Hills,Optometrist
NewYork-Presbyterian Hospital - Emergency Department,40.764319,-73.954092,"525 E 68th St (at York Ave.), New York, NY 10065",New York,Lenox Hill,Optometrist
Charles B Wang Community Health Care,40.761519,-73.830358,"13626 37th Ave (37th Avenue & Main St), Flushing, NY 11354",Flushing,Down Town Flushing,Optometrist
Fernandez DR Jose M,40.743832,-73.914917,"4322 50th St, Woodside, NY 11377",Woodside,Dutch Kills,Optometrist
Afford Dental PC,40.721435,-73.843105,"10855 Queens Blvd, Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Asian American Mental Health Institute,40.76012,-73.83022,"3901 Main St, Flushing, NY 11354",Flushing,Down Town Flushing,Optometrist
Fried Philip MD,40.741437,-73.786456,"5847 188th St, Fresh Meadows, NY 11365",Fresh Meadows,Fresh Meadows,Optometrist
Grace Plaza of Great Neck,40.788635,-73.722246,"15 Saint Pauls Pl, Great Neck, NY 11021",Great Neck,East Garden City,Optometrist
Bodian Dermatology and Medical Day Spa MD PC,40.788598,-73.728101,"11 Grace Ave, Great Neck, NY 11021",Great Neck,East Garden City,Optometrist
Professional Physical Therapy,40.739251,-73.700416,"27003 Hillside Ave (Langdale St.), New Hyde Park, NY 11040",New Hyde Park,Hillcrest,Optometrist
Division of Vascular/Interventional Radiology at Long Island Jewish Medical Center,40.754765,-73.708533,"27005 76th Ave (North Shore-LIJ Health System), New Hyde Park, NY 11040",New Hyde Park,Glen Oaks,Optometrist
Queens Medical Imaging,40.721777,-73.84866,"6915 Austin St (Btw 69th Rd and Yellowstone Blvd), Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Bayside Pediatrics PC,40.762034,-73.771932,"4223 212th St, Bayside, NY 11361",Bayside,Bayside,Optometrist
Medex Healthcare Multispecialty Center,40.719039,-73.837737,"11129 Queens Blvd, Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Unique Peoples Services,40.719896,-73.734948,"9450 220th St, Queens Village, NY 11428",Queens Village,Bellaire,Optometrist
Espinoza Corporation,40.709093,-73.779524,"9120 182nd St, Hollis, NY 11423",Hollis,Hillside,Optometrist
Bright White Dental,40.728828,-73.781738,"18706 Union Tpke, Fresh Meadows, NY 11366",Fresh Meadows,Hill Crest,Optometrist
Vetport Animal Hospital,40.703942,-73.793436,"11405 Merrick Blvd, Jamaica, NY 11434",Jamaica,Jamaica,Optometrist
NYC Health + Hospitals/Gotham Health,40.704088,-73.800421,"9037 Parsons Blvd (Jamaica Ave), Jamaica, NY 11432",Jamaica,Jamaica,Optometrist
"Jennifer Sipkin, DDS, PC",40.66971,-73.716254,"514 W Merrick Rd, Valley Stream, NY 11580",Valley Stream,Rosedale,Optometrist
Goldberg Dental of Vly Stream,40.668774,-73.712692,"417 W Merrick Rd (N Waldinger St.), Valley Stream, NY 11580",Valley Stream,Rosedale,Optometrist
Queens Long Island Medical,40.598774,-73.763549,"2915 Far Rockaway Blvd, Far Rockaway, NY 11691",Far Rockaway,Bayswater,Optometrist
Bayside Medical,40.585674,-73.952408,"1616 Voorhies Ave, Brooklyn, NY 11235",Brooklyn,Little Odessa,Optometrist
Tam Steven DMD,40.743006,-73.884756,"4225 80th St, Elmhurst, NY 11373",Elmhurst,Elmhurst,Optometrist
"Bayside Physical Therapy, Chiropractic & Acupuncture",40.771244,-73.774697,"21315 33rd Rd, Bayside, NY 11361",Bayside,Bayside,Optometrist
Millennium Dental Center,40.783467,-73.732604,"98 Cuttermill Rd, Great Neck, NY 11021",Great Neck,Little Neck,Optometrist
Brookhaven Beach Nursing Home,40.596331,-73.751495,"250 Beach 17th St, Far Rockaway, NY 11691",Far Rockaway,Far Rockaway,Optometrist
Rockaway Dental Center,40.587374,-73.811679,"8609 Rockaway Beach Blvd, Far Rockaway, NY 11693",Far Rockaway,Hammels,Optometrist
Lnw Medical Office,40.762728,-73.83158,"13604 Northern Blvd, Flushing, NY 11354",Flushing,Down Town Flushing,Optometrist
NSLIJ Employee Health Services,40.75703,-73.706381,"410 Lakeville Rd, New Hyde Park, NY 11042",New Hyde Park,Glen Oaks,Optometrist
Northern Boulevard Footcare,40.765184,-73.815768,"14945 Northern Blvd (149th Street), Flushing, NY 11354",Flushing,Flushing,Optometrist
"Predanic Mladen, MD",40.701309,-73.816336,"8900 Van Wyck Expy, Richmond Hill, NY 11418",Richmond Hill,Briarwood,Optometrist
Sutton Place Dental Associates,40.757252,-73.962076,"433 E 56th St, New York, NY 10022",New York,Midtown,Optometrist
Professional Transportation,40.685323,-73.863432,"7616 Rockaway Blvd, Woodhaven, NY 11421",Woodhaven,Cypress Hill,Optometrist
"Arelys Santana, DDS - D and S DENTAL",40.750126,-73.876547,"3717 90th St, Jackson Heights, NY 11372",Jackson Heights,Elmhurst,Optometrist
Belle Harbor Manor,40.577524,-73.845051,"209 Beach 125th St, Rockaway Park, NY 11694",Rockaway Park,Rockaway Beach,Optometrist
Road to Recovery Physical and Occupational Therapy,40.59538,-73.7542,"2004 Seagirt Blvd, Far Rockaway, NY 11691",Far Rockaway,Wave Crest,Optometrist
Cohen Children's Medical Center,40.753586,-73.708231,"26901 76th Ave, New Hyde Park, NY 11040",New Hyde Park,Glen Oaks,Optometrist
Advantagecare Physicians,40.73674,-73.876839,"8615 Queens Blvd, Elmhurst, NY 11373",Elmhurst,Elmhurst,Optometrist
Long Island Jewish Forest Hills,40.728927,-73.851626,"10201 66th Rd (North Shore-LIJ Health System), Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Manual Therapy Center,40.612641,-74.071079,"555 Tompkins Ave, Staten Island, NY 10305",Staten Island,Rosebank,Optometrist
Family Dental of Southern Brooklyn,40.613191,-74.033688,"9920 4th Ave, Brooklyn, NY 11209",Brooklyn,Fort Hamilton,Optometrist
Person Centered Care Service,40.613205,-74.123893,"1811 Victory Blvd, Staten Island, NY 10314",Staten Island,Castleton Corners,Optometrist
"Dr Raymond Helfand, Optometrist",40.625222,-74.13516,"1378 Forest Ave, Staten Island, NY 10302",Staten Island,Westerleigh,Optometrist
Heartland Psychological Services P C,40.585126,-74.160411,"251 Richmond Hill Rd, Staten Island, NY 10314",Staten Island,New Springville,Optometrist
Life Works,40.54348,-74.144448,"3932 Hylan Blvd, Staten Island, NY 10308",Staten Island,Great Kills,Optometrist
Eden 2 Institute,40.5528,-74.187304,"381 Carlton Blvd, Staten Island, NY 10312",Staten Island,Aspen Knolls,Optometrist
Staten Island Physical Therapy,40.522609,-74.238907,"4906 Arthur Kill Rd, Staten Island, NY 10309",Staten Island,Harbor Terrace,Optometrist
Dr Dave Flynn,40.620983,-74.1098,"960 Bard Ave, Staten Island, NY 10301",Staten Island,Silver Lake,Optometrist
Brook Island Medical Associates Ny State Disability,40.634579,-74.109148,"800 Castleton Ave, Staten Island, NY 10310",Staten Island,West New Brighton,Optometrist
Kingsbrook Jewish Medical Center,40.659536,-73.933889,"585 Schenectady Ave (btw Winthrop St & Rutland Rd), Brooklyn, NY 11203",Brooklyn,Wingate,Optometrist
Inner Fire Integrative Health Services,40.673482,-73.972619,"71 8th Ave, Brooklyn, NY 11217",Brooklyn,Park Slope,Optometrist
Ditmas Park Care Center,40.640146,-73.957728,"2107 Ditmas Ave, Brooklyn, NY 11226",Brooklyn,Flatbush,Optometrist
Dr. Scafuri and Associates,40.612596,-74.135845,"2177 Victory Blvd, Staten Island, NY 10314",Staten Island,Meiers Corners,Optometrist
Roccaro Gregory DVM,40.591508,-74.100645,"1564 Richmond Rd, Staten Island, NY 10304",Staten Island,Dongan Hills,Optometrist
"Singh, Kuldeep Vascular Surgery at Staten Island University Hospital",40.583441,-74.0849,"501 Seaview Ave, Staten Island, NY 10305",Staten Island,Midland Beach,Optometrist
Staten Island Medical Center,40.605228,-74.091548,"11 Ralph Pl, Staten Island, NY 10304",Staten Island,Stapleton,Optometrist
Richmond Psychological Services,40.586263,-74.091808,"308 Seaview Ave, Staten Island, NY 10305",Staten Island,Grand City,Optometrist
LASIK Center of Staten Island,40.568927,-74.114676,"445 Clawson St, Staten Island, NY 10306",Staten Island,New Dorp,Optometrist
"Staten Island Mall Dental, PC",40.581619,-74.164396,"2655 Richmond Ave (Staten Island Mall), Staten Island, NY 10314",Staten Island,New Springville,Optometrist
Farkas Benjamin Dr,40.590235,-74.164418,"89 Stephen Loop, Staten Island, NY 10314",Staten Island,New Springville,Optometrist
Dr Charles Patterino,40.611842,-74.139647,"2281 Victory Blvd (Harvey Ave), Staten Island, NY 10314",Staten Island,Meiers Corners,Optometrist
Symphony Veterinary Center,40.793688,-73.969913,"170 W 96th St (Amsterdam), New York, NY 10025",New York,Manhattan Valley,Optometrist
Bellevue Hospital Center,40.739475,-73.975453,"462 1st Ave (btwn E 26th & E 28th St), New York, NY 10016",New York,Bellevue,Optometrist
Shore Road Family Health Center 9000 Shore Rd,40.621942,-74.038701,"9000 Shore Rd, Brooklyn, NY 11209",Brooklyn,Bayridge,Optometrist
SIUH Heart Tower,40.585102,-74.085187,"242 Mason Ave, Staten Island, NY 10305",Staten Island,Midland Beach,Optometrist
Beacon Of Hope House,40.588347,-74.096204,"90 Hancock St, Staten Island, NY 10305",Staten Island,Grand City,Optometrist
Womens Health Center,40.664218,-74.212716,"65 Jefferson Ave, Elizabeth, NJ 07201",Elizabeth,Keighry Head,Optometrist
Avenue J Medical Center,40.627395,-73.936979,"4010 Avenue J, Brooklyn, NY 11210",Brooklyn,Flatlands,Optometrist
Linden Village Chiropractic Center,40.667114,-73.852696,"15144 82nd St, Howard Beach, NY 11414",Howard Beach,Lidenwood,Optometrist
Brooklyn Eye And Vision Care,40.61909,-73.933266,"2074 Flatbush Ave, Brooklyn, NY 11234",Brooklyn,Flatlands,Optometrist
Lincoln Ferguson Medical PC,40.637345,-73.896969,"9424 Avenue L, Brooklyn, NY 11236",Brooklyn,Canarsie,Optometrist
"NewYork-Presbyterian Medical Group Queens - Bariatric Surgery, Colorectal Surgery, General Surgery",40.728911,-73.782701,"18603 Union Tpke, Fresh Meadows, NY 11366",Fresh Meadows,Hill Crest,Optometrist
"Shafizadeh Farshad, MD",40.7549,-73.817061,"14601 45th Ave, Flushing, NY 11355",Flushing,Flushing,Optometrist
Metro Eye Md,40.744297,-73.775728,"5847 Francis Lewis Blvd, Oakland Gardens, NY 11364",Oakland Gardens,Fresh Meadows,Optometrist
Boro Dental Arts,40.749315,-73.936,"29-22 Northern Blvd, New York, NY 11101",New York,Long Island City,Optometrist
"NYC Health + Hospitals/Gotham Health, Belvis",40.81003,-73.915796,"545 E 142nd St, Bronx, NY 10454",Bronx,Mott Haven,Optometrist
Milstein Hospital Building,40.841437,-73.943194,"177 Fort Washington Ave, New York, NY 10032",New York,Uptown,Optometrist
Department Of Urology,40.841377,-73.94341,"161 Fort Washington Ave, New York, NY 10032",New York,Uptown,Optometrist
Fort Tryon Center for Rehabilitation and Nursing,40.857009,-73.93451,"801 W 190th St, New York, NY 10040",New York,Fort George,Optometrist
Zuckerman Research Center,40.765216,-73.956835,"410 E 69th St, New York, NY 10021",New York,Lenox Hill,Optometrist
NYU Langone Neurology Consultants of NY,40.749267,-73.974084,"222 E 41st St, New York, NY 10017",New York,East Side,Optometrist
Bellevue Hospital Center Speciality Surgery,40.739363,-73.975227,"462 1st Ave (btwn 26th & 28th St), New York, NY 10016",New York,Kips Bay,Optometrist
Ardeljansavic Sylvia HSS East River Professional Building New York,40.766581,-73.952213,"523 E 72nd St, New York, NY 10021",New York,Lenox Hill,Optometrist
NYU Medical Center Emergency Medicine,40.742141,-73.974243,"570 1st Ave (East 34 Street), New York, NY 10016",New York,East Side,Optometrist
Brooklyn Hospital Labor & Delivery,40.69048,-73.977991,"Dekalb Ave, Brooklyn, NY 11201",Brooklyn,Clinton Hill,Optometrist
NewYork-Presbyterian Lower Manhattan Hospital,40.710132,-74.004943,"170 William St (at Gold St), New York, NY 10038",New York,City Hall,Optometrist
Pediatrics Associates,40.67602,-73.970374,"20 Plaza St E (Vanderbilt), Brooklyn, NY 11238",Brooklyn,Park Slope,Optometrist
Grega Renato C,40.678344,-73.86854,"1098 Liberty Ave, Brooklyn, NY 11208",Brooklyn,City Line,Optometrist
Weill Cornell Medical Associates,40.716823,-74.006823,"40 Worth St (btwn Church & W Broadway), New York, NY 10013",New York,City Hall Area,Optometrist
Aadobe Pet Hospital,40.626203,-74.132892,"1294 Forest Ave, Staten Island, NY 10302",Staten Island,Westerleigh,Optometrist
Gateway Ob/gyn Associates Pc,40.591346,-74.098723,"78 Cromwell Ave, Staten Island, NY 10304",Staten Island,Grand City,Optometrist
JAG-ONE Physical Therapy,40.58051,-73.837848,"231 Beach 116th St, Rockaway Park, NY 11694",Rockaway Park,Boardwalk,Optometrist
Coney Island Hospital,40.585375,-73.965497,"2601 Ocean Pkwy (at Shore Pkwy), Brooklyn, NY 11235",Brooklyn,Home Crest,Optometrist
North Shore LIJ Forest Hills Hospital Medical Library,40.728818,-73.853761,"9931 66th Ave, Rego Park, NY 11374",Rego Park,Forest Hills,Optometrist
Nick Gerald Faraci,40.526425,-74.17242,"4982 Hylan Blvd, Staten Island, NY 10312",Staten Island,Huguenot,Optometrist
New York Blood Center,40.578365,-74.168957,"2791 Richmond Ave (Pergament Mall - Above Verizon Wireless), Staten Island, NY 10314",Staten Island,New Springville,Optometrist
Headstart Program,40.507745,-74.244809,"100 Brighton St, Staten Island, NY 10307",Staten Island,Tottenville,Optometrist
Mid Flushing Medical Arts,40.760783,-73.827492,"13678 39th Ave, Flushing, NY 11354",Flushing,Down Town Flushing,Optometrist
Ridgewood Dialysis Center,40.707056,-73.91458,"385 Seneca Ave, Ridgewood, NY 11385",Ridgewood,Linden Hill,Optometrist
Sight N Save Optical,40.617835,-73.964054,"1634 Coney Island Ave, Brooklyn, NY 11230",Brooklyn,Ocean Parkway,Optometrist
University Diagnostic Medical Imaging Pc,40.844259,-73.839413,"1200 Waters Pl, Bronx, NY 10461",Bronx,Westchester,Optometrist
Cohen's Fashion Optical,40.881118,-73.882743,"3416 Jerome Ave, Bronx, NY 10467",Bronx,Norwood,Optometrist
Prospect Park Animal Clinic,40.666686,-73.975408,"105 Prospect Park W (5th Street), Brooklyn, NY 11215",Brooklyn,Park Slope,Optometrist
Bayview Urgent Care,40.58213,-73.837645,"11506 Beach Channel Dr, Queens, NY 11694",Queens,Boardwalk,Optometrist
Silver Star Urgent Care,40.596055,-73.753923,"228 Beach 20th St, Far Rockaway, NY 11691",Far Rockaway,Far Rockaway,Optometrist
Memorial Sloan Kettering Cancer Center,40.764001,-73.956077,"1275 York Ave (btwn 67th & 68th St), New York, NY 10065",New York,Lenox Hill,Optometrist
Gordon,40.640788,-74.076024,"56 Bay Street Lndg, Staten Island, NY 10301",Staten Island,Brighton Heights,Optometrist
Our Lady of Mercy,40.896444,-73.864867,"4217 Vireo Ave, Bronx, NY 10470",Bronx,Lincoln,Doctor's Office
Evydent Dentistry PC,40.867551,-73.924054,"29 Cooper St (btwn W 204th St and Academy St.), New York, NY 10034",New York,Fort George,Doctor's Office
American Dental Centers,40.863349,-73.896882,"2535 Grand Concourse, Bronx, NY 10468",Bronx,Fordham,Doctor's Office
Arc Media International,40.857824,-73.901579,"108 E 183rd St, Bronx, NY 10453",Bronx,Fordham,Doctor's Office
Bronx Rhio,40.85949,-73.868766,"2275 Olinville Ave, Bronx, NY 10467",Bronx,Bronxdale,Doctor's Office
Throggs Neck Volunteer Ambulance,40.821257,-73.818201,"3955 E Tremont Ave (Sampson Ave), Bronx, NY 10465",Bronx,Silver Beach,Doctor's Office
Premier Family Dentistry,40.878799,-73.907313,"3024 Kingsbridge Ave, Bronx, NY 10463",Bronx,Kings Bridge,Doctor's Office
Sleep Disorders Center-Columbia Presbyterian,40.841324,-73.943365,"161 Fort Washington Ave, New York, NY 10032",New York,Uptown,Doctor's Office
GVS @ Lincoln Medical Center,40.817533,-73.924083,"234 E 149th St (btwn Park & Morris Ave), Bronx, NY 10451",Bronx,Patterson Houses,Doctor's Office
Manhattan Psychiatric Center,40.789095,-73.92965,"1 Wards Is, New York, NY 10035",New York,Spanish Harlem,Doctor's Office
Motion Sports Medicine,40.769926,-73.923853,"2717 Crescent St, Astoria, NY 11102",Astoria,Astoria,Doctor's Office
Lee Dermatology,40.824709,-73.920199,"220 E 161st St (East 161 St), Bronx, NY 10451",Bronx,Melrose,Doctor's Office
D And D Medical,40.833104,-73.863553,"1310 Leland Ave, Bronx, NY 10472",Bronx,Parkchester,Doctor's Office
Lens Lab Express,40.821202,-73.891329,"940 Southern Blvd, Bronx, NY 10459",Bronx,East Morrisania,Doctor's Office
Montefiore Medical Center,40.845236,-73.845531,"1621 Eastchester Rd, Bronx, NY 10461",Bronx,Westchester,Doctor's Office
A Dental,40.847359,-73.857467,"960 Morris Park Ave, Bronx, NY 10462",Bronx,Van Nest,Doctor's Office
South Bronx Mental Health Council,40.835601,-73.848463,"1401 Glover St, Bronx, NY 10462",Bronx,Parkchester,Doctor's Office
Medical & Dental Office,40.828445,-73.876594,"1163 Manor Ave (Westcher Avenue), Bronx, NY 10472",Bronx,Longwood,Doctor's Office
Jacobi Medical Center Maternity,40.857339,-73.847501,"1400 Pelham Pkwy S (Eastchester Rd & Morris Park Ave), Bronx, NY 10461",Bronx,Pelham Parkway,Doctor's Office
Dyker Diagnostic & Analytical Medical Lab,40.620559,-74.006834,"7411 13th Ave, Brooklyn, NY 11228",Brooklyn,Dyker Heights,Doctor's Office
Brooklyn VA Hospital Pulmonology,40.608275,-74.024432,"800 Poly Pl (7th ave), Brooklyn, NY 11209",Brooklyn,Fort Hamilton,Doctor's Office
"Michael Yuryev, DO - Primary Care Doctor | Family Doctor | Brooklyn, NY",40.603227,-73.952473,"2409 Ocean Ave (Ave T and Ave S), Brooklyn, NY 11229",Brooklyn,Sheepshead Bay,Doctor's Office
Faithful Friends Animal Hospital,40.591994,-73.973633,"2455 McDonald Ave, Brooklyn, NY 11223",Brooklyn,Gravesend,Doctor's Office
Eschen Albert H Optometrist,40.600401,-73.943352,"2821 Avenue U, Brooklyn, NY 11229",Brooklyn,Sheepshead Bay,Doctor's Office
Park Slope Oral & Maxillofacial Surgery,40.675303,-73.97705,"805 Union St, Brooklyn, NY 11215",Brooklyn,Park Slope,Doctor's Office
PM Pediatrics,40.626691,-73.965224,"1273 Coney Island Ave (Avenue I And Avenue J), Brooklyn, NY 11230",Brooklyn,Fiske Terrace,Doctor's Office
Centers Urgent Care,40.625747,-73.958261,"1811 Avenue J, Brooklyn, NY 11230",Brooklyn,Midwood,Doctor's Office
Geb Hetep Wholistic Center,40.677326,-73.945905,"1344 Pacific St, Brooklyn, NY 11216",Brooklyn,Crown Heights,Doctor's Office
Milo,40.711564,-73.964306,"105 5th Ave, New York, NY 10003",New York,South Side,Doctor's Office
Park Slope Dental Arts,40.670249,-73.978554,"506 3rd St, New York, NY 11215",New York,Park Slope,Doctor's Office
Dr Wiechowski Office,40.713087,-73.873873,"7844 Metropolitan Ave, Middle Village, NY 11379",Middle Village,Glendale,Doctor's Office
Associated For The Help Of Retarded Children,40.666217,-73.849873,"8420 153rd Ave, Howard Beach, NY 11414",Howard Beach,Lidenwood,Doctor's Office
University Hospital of Brooklyn,40.65509,-73.945009,"470 Clarkson Ave (E 37th St), Brooklyn, NY 11203",Brooklyn,Prospect,Doctor's Office
Central Brooklyn Veterinary Center,40.623241,-73.937213,"1909 Flatbush Ave, Brooklyn, NY 11210",Brooklyn,Flatlands,Doctor's Office
Leung Euston MD,40.617735,-73.969756,"1266 Ocean Pkwy, Brooklyn, NY 11230",Brooklyn,Ocean Parkway,Doctor's Office
NYU Lutheran Family Health Centers Park Ridge,40.638501,-74.020368,"6317 4th Ave, Brooklyn, NY 11220",Brooklyn,Bayridge,Doctor's Office
Rx World,40.609809,-73.999845,"8110 18th Ave, Brooklyn, NY 11214",Brooklyn,New Utrecht,Doctor's Office
Manhattan Beach Animal Clinic,40.579814,-73.958102,"126 Brighton 11th St, Brooklyn, NY 11235",Brooklyn,Brighton Beach,Doctor's Office
Performance Edge Chiropractic,40.619845,-73.906857,"7112 Avenue U, Brooklyn, NY 11234",Brooklyn,Georgetown,Doctor's Office
Medspan Associates,40.711179,-73.9582,"231 S 3rd St, Brooklyn, NY 11211",Brooklyn,South Side,Doctor's Office
Dental Care of Cobble Hill,40.679825,-73.999164,"62 2nd Pl, Brooklyn, NY 11231",Brooklyn,Carroll Gardens,Doctor's Office
SPEAR Physical Therapy,40.674465,-73.976145,"794 Union St, Brooklyn, NY 11215",Brooklyn,Park Slope,Doctor's Office
Franklin Ave Animal Hospital,40.677328,-73.955891,"614 Franklin Ave, Brooklyn, NY 11238",Brooklyn,Crown Heights,Doctor's Office
Oral & Maxillofacial Surgery of Ocean Parkway,40.605545,-73.966409,"1777 Ocean Pkwy (at Kings Hwy), Brooklyn, NY 11223",Brooklyn,Gravesend,Doctor's Office
Brooklyn Hospital Labor & Delivery,40.69048,-73.977991,"Dekalb Ave, Brooklyn, NY 11201",Brooklyn,Clinton Hill,Doctor's Office
Eduardo Belandria,40.84948,-73.937287,"706 W 180th St, New York, NY 10033",New York,Fort George,Doctor's Office
Morrisania D&Tc,40.836106,-73.920149,"1225 Gerard Ave, Bronx, NY 10452",Bronx,Concourse,Doctor's Office
Callen Lorde Community Health Center,40.8221,-73.910609,"3144 3rd Ave, Bronx, NY 10451",Bronx,Melrose,Doctor's Office
Cardiac Cath Lab,40.805363,-73.961359,"1111 Amsterdam Ave, New York, NY 10025",New York,Harlem,Doctor's Office
Mt. Sinai Emergency Room,40.790329,-73.952253,"1468 Madison Ave (at E. 101st St.), New York, NY 10029",New York,Carnegie Hill,Doctor's Office
Manhattan Specialty Care,40.740528,-73.994006,"55 W 17th St, New York, NY 10011",New York,Chelsea,Doctor's Office
Mount Sinai Doctors - East 34th Street,40.747544,-73.981966,"55 E 34th St (btwn Madison & Park Ave), New York, NY 10016",New York,East Side,Doctor's Office
West End Pediatrics,40.786034,-73.979538,"450 W End Ave (West end avenue), New York, NY 10024",New York,Upper West Side,Doctor's Office
Planned Parenthood,40.725435,-73.993587,"26 Bleecker St (at Mott St), New York, NY 10012",New York,Downtown,Doctor's Office
Doctor Fafalak,40.733461,-73.997963,"36 W 9th St (Between 5 Ave And 6 Ave), New York, NY 10011",New York,Downtown,Doctor's Office
PromptMD Urgent Care Center Jersey City,40.714739,-74.043491,"201 Marin Blvd, Jersey City, NJ 07302",Jersey City,Battery Park City,Doctor's Office
Interstate Vets,40.727824,-73.891876,"7108 Grand Ave, Maspeth, NY 11378",Maspeth,Maspeth,Doctor's Office
Grega Renato C,40.678344,-73.86854,"1098 Liberty Ave, Brooklyn, NY 11208",Brooklyn,City Line,Doctor's Office
Thelma Trani Rosenblatt PhD,40.722413,-73.840739,"11020 71st Ave, Forest Hills, NY 11375",Forest Hills,Forest Hills,Doctor's Office
NewYork-Presbyterian Medical Group Queens - Electrophysiology,40.74733,-73.824983,"5645 Main St, Flushing, NY 11355",Flushing,Queensboro Hills,Doctor's Office
Weill Cornell Medical Associates,40.760613,-73.959454,"425 E 61st St (425 E 61st St), New York, NY 10065",New York,Lenox Hill,Doctor's Office
Queens Crossing,40.760725,-73.829761,"13620 38th Ave (at Main St), Flushing, NY 11354",Flushing,Down Town Flushing,Doctor's Office
Housing Works Community Health Center,40.674789,-73.874645,"2640 Pitkin Ave, Brooklyn, NY 11208",Brooklyn,City Line,Doctor's Office
VIP Dental Care,40.720325,-73.842235,"10862 Queens Blvd, Forest Hills, NY 11375",Forest Hills,Forest Hills,Doctor's Office
"Rita Ellent, Od - The Gardens Eye Care",40.71896,-73.844979,"12 Station Sq, Forest Hills, NY 11375",Forest Hills,Forest Hills,Doctor's Office
Queens Li Medical Group,40.672826,-73.770546,"16959 137th Ave, Jamaica, NY 11434",Jamaica,Locust Manor,Doctor's Office
Accellent Dental P.C.,40.759538,-73.831859,"3907 Prince St, Flushing, NY 11354",Flushing,Down Town Flushing,Doctor's Office
Lnw Medical Office,40.762728,-73.83158,"13604 Northern Blvd, Flushing, NY 11354",Flushing,Down Town Flushing,Doctor's Office
"Frank Valdinoto, DDS",40.788655,-73.727972,"12 Bond St, Great Neck, NY 11021",Great Neck,East Garden City,Doctor's Office
Sears Optical,40.753191,-73.695773,"1400 Union Tpke, New Hyde Park, NY 11040",New Hyde Park,Glen Oaks,Doctor's Office
"Predanic Mladen, MD",40.701309,-73.816336,"8900 Van Wyck Expy, Richmond Hill, NY 11418",Richmond Hill,Briarwood,Doctor's Office
Cazazian Abram DDS PC,40.76232,-73.772155,"4203 212th St, Bayside, NY 11361",Bayside,Bayside,Doctor's Office
"Sheryl Varnai, DDS",40.719472,-73.812441,"15005 Union Tpke, Flushing, NY 11367",Flushing,Kew Gardens Hills,Doctor's Office
Denran Medical Service PC,40.691362,-73.7793,"11410 Merrick Blvd, Jamaica, NY 11434",Jamaica,Locust Manor,Doctor's Office
